STATE/UT,Year,CAUSE,Male,Female,Total
PUNJAB,2013,Tempo/Vans (Government),15,7,22
PUNJAB,2013,Tempo/Vans (Private),220,48,268
PUNJAB,2013,Jeep (Government),10,1,11
PUNJAB,2013,Jeep (Private),181,29,210
PUNJAB,2013,Car (Government),7,3,10
PUNJAB,2013,Car (Private),708,146,854
PUNJAB,2013,Three Wheeler,85,11,96
PUNJAB,2013,Two Wheeler,772,111,883
PUNJAB,2013,Bicycle,99,2,101
PUNJAB,2013,Pedestrian,124,8,132
PUNJAB,2013,Others (Please Specify),597,91,688
PUNJAB,2013,Total Deaths (Persons),3921,667,4588
PUNJAB,2013,Total Truck/Lorry,719,122,841
PUNJAB,2013,Total Bus,384,88,472
PUNJAB,2013,Total Tempo/Vans,235,55,290
PUNJAB,2013,Total Jeep,191,30,221
PUNJAB,2013,Total Car,715,149,864
RAJASTHAN,2013,Truck/Lorry (Government),2,0,2
RAJASTHAN,2013,Truck/Lorry (Private),1510,128,1638
RAJASTHAN,2013,Bus (Government),74,16,90
RAJASTHAN,2013,Bus (Private),513,80,593
RAJASTHAN,2013,Tempo/Vans (Government),2,2,4
RAJASTHAN,2013,Tempo/Vans (Private),231,31,262
RAJASTHAN,2013,Jeep (Government),44,9,53
RAJASTHAN,2013,Jeep (Private),1040,203,1243
RAJASTHAN,2013,Car (Government),2,0,2
RAJASTHAN,2013,Car (Private),794,168,962
RAJASTHAN,2013,Three Wheeler,112,14,126
RAJASTHAN,2013,Two Wheeler,2182,306,2488
RAJASTHAN,2013,Bicycle,77,23,100
RAJASTHAN,2013,Pedestrian,908,158,1066
RAJASTHAN,2013,Others (Please Specify),977,118,1095
RAJASTHAN,2013,Total Deaths (Persons),8468,1256,9724
RAJASTHAN,2013,Total Truck/Lorry,1512,128,1640
RAJASTHAN,2013,Total Bus,587,96,683
RAJASTHAN,2013,Total Tempo/Vans,233,33,266
RAJASTHAN,2013,Total Jeep,1084,212,1296
RAJASTHAN,2013,Total Car,796,168,964
SIKKIM,2013,Truck/Lorry (Government),0,0,0
SIKKIM,2013,Truck/Lorry (Private),4,0,4
SIKKIM,2013,Bus (Government),0,0,0
SIKKIM,2013,Bus (Private),0,0,0
SIKKIM,2013,Tempo/Vans (Government),0,0,0
SIKKIM,2013,Tempo/Vans (Private),0,0,0
SIKKIM,2013,Jeep (Government),0,0,0
SIKKIM,2013,Jeep (Private),28,5,33
SIKKIM,2013,Car (Government),0,0,0
SIKKIM,2013,Car (Private),11,2,13
SIKKIM,2013,Three Wheeler,0,0,0
SIKKIM,2013,Two Wheeler,4,0,4
SIKKIM,2013,Bicycle,0,0,0
SIKKIM,2013,Pedestrian,2,0,2
SIKKIM,2013,Others (Please Specify),9,3,12
SIKKIM,2013,Total Deaths (Persons),58,10,68
SIKKIM,2013,Total Truck/Lorry,4,0,4
SIKKIM,2013,Total Bus,0,0,0
SIKKIM,2013,Total Tempo/Vans,0,0,0
SIKKIM,2013,Total Jeep,28,5,33
SIKKIM,2013,Total Car,11,2,13
TAMIL NADU,2013,Truck/Lorry (Government),45,7,52
TAMIL NADU,2013,Truck/Lorry (Private),2456,377,2833
TAMIL NADU,2013,Bus (Government),1024,151,1175
TAMIL NADU,2013,Bus (Private),736,148,884
TAMIL NADU,2013,Tempo/Vans (Government),58,1,59
TAMIL NADU,2013,Tempo/Vans (Private),883,157,1040
TAMIL NADU,2013,Jeep (Government),7,0,7
TAMIL NADU,2013,Jeep (Private),181,18,199
TAMIL NADU,2013,Car (Government),17,1,18
TAMIL NADU,2013,Car (Private),2095,290,2385
TAMIL NADU,2013,Three Wheeler,332,83,415
TAMIL NADU,2013,Two Wheeler,3954,513,4467
TAMIL NADU,2013,Bicycle,332,16,348
TAMIL NADU,2013,Pedestrian,552,177,729
TAMIL NADU,2013,Others (Please Specify),766,186,952
TAMIL NADU,2013,Total Deaths (Persons),13438,2125,15563
TAMIL NADU,2013,Total Truck/Lorry,2501,384,2885
TAMIL NADU,2013,Total Bus,1760,299,2059
TAMIL NADU,2013,Total Tempo/Vans,941,158,1099
TAMIL NADU,2013,Total Jeep,188,18,206
TAMIL NADU,2013,Total Car,2112,291,2403
TRIPURA,2013,Truck/Lorry (Government),7,3,10
TRIPURA,2013,Truck/Lorry (Private),24,1,25
TRIPURA,2013,Bus (Government),3,1,4
TRIPURA,2013,Bus (Private),22,2,24
TRIPURA,2013,Tempo/Vans (Government),0,0,0
TRIPURA,2013,Tempo/Vans (Private),12,0,12
TRIPURA,2013,Jeep (Government),0,0,0
TRIPURA,2013,Jeep (Private),30,6,36
TRIPURA,2013,Car (Government),0,0,0
TRIPURA,2013,Car (Private),18,6,24
TRIPURA,2013,Three Wheeler,30,5,35
TRIPURA,2013,Two Wheeler,36,2,38
TRIPURA,2013,Bicycle,0,0,0
TRIPURA,2013,Pedestrian,0,0,0
TRIPURA,2013,Others (Please Specify),16,2,18
TRIPURA,2013,Total Deaths (Persons),198,28,226
TRIPURA,2013,Total Truck/Lorry,31,4,35
TRIPURA,2013,Total Bus,25,3,28
TRIPURA,2013,Total Tempo/Vans,12,0,12
TRIPURA,2013,Total Jeep,30,6,36
TRIPURA,2013,Total Car,18,6,24
