STATE/UT,Year,CAUSE,Male,Female,Total
ANDHRA PRADESH,2004,Jeep (Government),31,8,39
ANDHRA PRADESH,2004,Jeep (Private),547,121,668
ANDHRA PRADESH,2004,Car (Government),11,5,16
ANDHRA PRADESH,2004,Car (Private),441,119,560
ANDHRA PRADESH,2004,Three Wheeler,1250,280,1530
ANDHRA PRADESH,2004,Two Wheeler,1370,168,1538
ANDHRA PRADESH,2004,Bicycle,130,10,140
ANDHRA PRADESH,2004,Pedestrian,317,80,397
ANDHRA PRADESH,2004,Others (Please Specify),1097,179,1276
ANDHRA PRADESH,2004,Total Deaths (Persons),9267,1693,10960
ANDHRA PRADESH,2004,Total Truck/Lorry,2702,451,3153
ANDHRA PRADESH,2004,Total Bus,850,168,1018
ANDHRA PRADESH,2004,Total Tempo/Vans,521,104,625
ANDHRA PRADESH,2004,Total Jeep,578,129,707
ANDHRA PRADESH,2004,Total Car,452,124,576
ANDHRA PRADESH,2005,Truck/Lorry (Government),35,11,46
ANDHRA PRADESH,2005,Truck/Lorry (Private),2568,594,3162
ANDHRA PRADESH,2005,Bus (Government),536,126,662
ANDHRA PRADESH,2005,Bus (Private),277,101,378
ANDHRA PRADESH,2005,Tempo/Vans (Government),6,1,7
ANDHRA PRADESH,2005,Tempo/Vans (Private),410,96,506
ANDHRA PRADESH,2005,Jeep (Government),73,6,79
ANDHRA PRADESH,2005,Jeep (Private),435,101,536
ANDHRA PRADESH,2005,Car (Government),5,0,5
ANDHRA PRADESH,2005,Car (Private),465,113,578
ANDHRA PRADESH,2005,Three Wheeler,1042,320,1362
ANDHRA PRADESH,2005,Two Wheeler,1184,203,1387
ANDHRA PRADESH,2005,Bicycle,178,9,187
ANDHRA PRADESH,2005,Pedestrian,470,107,577
ANDHRA PRADESH,2005,Others (Please Specify),1196,276,1472
ANDHRA PRADESH,2005,Total Deaths (Persons),8880,2064,10944
ANDHRA PRADESH,2005,Total Truck/Lorry,2603,605,3208
ANDHRA PRADESH,2005,Total Bus,813,227,1040
ANDHRA PRADESH,2005,Total Tempo/Vans,416,97,513
ANDHRA PRADESH,2005,Total Jeep,508,107,615
ANDHRA PRADESH,2005,Total Car,470,113,583
ANDHRA PRADESH,2006,Truck/Lorry (Government),48,17,65
ANDHRA PRADESH,2006,Truck/Lorry (Private),2765,481,3246
ANDHRA PRADESH,2006,Bus (Government),598,152,750
ANDHRA PRADESH,2006,Bus (Private),428,131,559
ANDHRA PRADESH,2006,Tempo/Vans (Government),10,3,13
ANDHRA PRADESH,2006,Tempo/Vans (Private),380,99,479
ANDHRA PRADESH,2006,Jeep (Government),17,5,22
ANDHRA PRADESH,2006,Jeep (Private),454,131,585
ANDHRA PRADESH,2006,Car (Government),4,1,5
ANDHRA PRADESH,2006,Car (Private),638,120,758
ANDHRA PRADESH,2006,Three Wheeler,1439,399,1838
ANDHRA PRADESH,2006,Two Wheeler,1591,299,1890
ANDHRA PRADESH,2006,Bicycle,161,19,180
ANDHRA PRADESH,2006,Pedestrian,514,162,676
ANDHRA PRADESH,2006,Others (Please Specify),1339,256,1595
ANDHRA PRADESH,2006,Total Deaths (Persons),10386,2275,12661
ANDHRA PRADESH,2006,Total Truck/Lorry,2813,498,3311
ANDHRA PRADESH,2006,Total Bus,1026,283,1309
ANDHRA PRADESH,2006,Total Tempo/Vans,390,102,492
ANDHRA PRADESH,2006,Total Jeep,471,136,607
ANDHRA PRADESH,2006,Total Car,642,121,763
ANDHRA PRADESH,2007,Truck/Lorry (Government),139,9,148
ANDHRA PRADESH,2007,Truck/Lorry (Private),2610,558,3168
ANDHRA PRADESH,2007,Bus (Government),678,145,823
ANDHRA PRADESH,2007,Bus (Private),359,96,455
ANDHRA PRADESH,2007,Tempo/Vans (Government),11,4,15
ANDHRA PRADESH,2007,Tempo/Vans (Private),412,78,490
ANDHRA PRADESH,2007,Jeep (Government),17,10,27
ANDHRA PRADESH,2007,Jeep (Private),513,116,629
ANDHRA PRADESH,2007,Car (Government),6,3,9
ANDHRA PRADESH,2007,Car (Private),734,142,876
ANDHRA PRADESH,2007,Three Wheeler,1708,346,2054
ANDHRA PRADESH,2007,Two Wheeler,1859,361,2220
ANDHRA PRADESH,2007,Bicycle,298,48,346
ANDHRA PRADESH,2007,Pedestrian,675,189,864
ANDHRA PRADESH,2007,Others (Please Specify),1385,253,1638
ANDHRA PRADESH,2007,Total Deaths (Persons),11404,2358,13762
ANDHRA PRADESH,2007,Total Truck/Lorry,2749,567,3316
ANDHRA PRADESH,2007,Total Bus,1037,241,1278
